Etiq-Strain+Automat+CG+y
AB073912=swJ570. 3b.JPN.Tochigi.pig(*).CG.2000
EF530674=HUN-072. 3e.HUN.pig
EF530675=HUN-006. 3a.HUN.wb
EF530676=HUN-007. 3a.HUN.wb
AB291954=JSS-Oka04L. 3b.JPN.Okayama.hum.CG.2004
EU035811=108S. 3h.DEU.wb.FIRA
EU035812=118E. 3c.DEU.wb.FIRA
EU035813=119E. 3c.DEU.wb.FIRA
EU035814=149E. 3h.DEU.wb.FIRA
EU035815=12464E. 3h.DEU.wb.FIRA
EU035816=WvdP. 3f.NLD.pig
EU057982=HUN-045. 3e.HUN.deer
EU117407=SWswHEV. 3f.CZE.pig
EU117408=CZswHEV1. 3g.CZE.pig
EU117409=CZswHEV4. 3g.CZE.pig
EU117410=CZswHEV6. 3g.CZE.pig
EU117411=CZswHEV10. 3f.CZE.pig
EU117412=CZswHEV14. 3f.CZE.pig
EU117413=CZswHEV21. 3g.CZE.pig
EU117414=CZswHEV27. 3f.CZE.pig
AB291966=JST-KitAsa04C. 4c.JPN.Hokkaido.hum.CG.2004
AB291955=JSW-Kyo-FH06L. 3b.JPN.Kyoto.hum.CG.2006
AB291959=JTC-Kit-FH04L. 4c.JPN.Hokkaido.hum.CG.2004
EU450839=BBCN2.1. 1a.ESP.sewage
EU495107=TLS03. 3f.FRA.hum
EU495109=TLS39. 3b.FRA.hum
EU495110=TLS33. 3f.FRA.hum
EU495113=TLS22. 3f.FRA.hum
EU495118=TLS07. 3f.FRA.hum
EU495120=TLS10. 3f.FRA.hum
EU495131=TLS17. 3f.FRA.hum
EU495134=TLS19. 3f.FRA.hum
EU495136=TLS26. 3f.FRA.hum
EU495142=TLS37. 3f.FRA.hum
EU495143=TLS38. 3e.FRA.hum
EU495144=TLS40. 3h.FRA.hum
EU495145=TLS41. 3c.FRA.hum
EU495146=TLS42. 3e.FRA.hum
AB698654=JTF-Yamagu11. 4g.JPN.Yamaguchi.hum.CG.2011
EU495149=TLS10. 3f.FRA.hum
EU495156=TLS03. 3f.FRA.hum
EU495160=TLS07. 3f.FRA.hum
EU495163=TLS17. 3f.FRA.hum
EU495168=TLS22. 3f.FRA.hum
EU495171=TLS26. 3f.FRA.hum
EU495176=TLS19. 3f.FRA.hum
EU495180=TLS37. 3f.FRA.hum
EU495184=TLS33. 3f.FRA.hum
EU495186=TLS38. 3e.FRA.hum
EU495187=TLS42. 3e.FRA.hum
EU495188=TLS40. 3h.FRA.hum
EU495189=TLS41. 3c.FRA.hum
EU495190=TLS39. 3b.FRA.hum
EU495192=TLS22. 3f.FRA.hum
EU495195=TLS26. 3f.FRA.hum
EU495200=TLS19. 3f.FRA.hum
EU495201=TLS07. 3f.FRA.hum
EU495210=TLS10. 3f.FRA.hum
EU495216=TLS03. 3f.FRA.hum
EU495218=TLS17. 3f.FRA.hum
EU495220=TLS33. 3f.FRA.hum
EU495226=TLS37. 3f.FRA.hum
EU495228=TLS42. 3e.FRA.hum
EU495229=TLS38. 3e.FRA.hum
EU495230=TLS39. 3b.FRA.hum
EU495231=TLS41. 3c.FRA.hum
EU495232=TLS40. 3h.FRA.hum
EU526606=HEV/SW/NL/2005-980. 3f.NLD.pig
EU526607=HEV/SW/NL/2005-981. 3f.NLD.pig
EU526608=HEV/SW/NL/2005-987. 3f.NLD.pig
EU526609=HEV/SW/NL/2005-989. 3f.NLD.pig
EU526610=HEV/SW/NL/2005-1034. 3f.NLD.pig
EU526611=HEV/SW/NL/2005-1039. 3f.NLD.pig
EU526612=HEV/SW/NL/2005-1049. 3f.NLD.pig
EU526613=HEV/SW/NL/2005-997. 3f.NLD.pig
EU526614=HEV/SW/NL/2005-1052. 3f.NLD.pig
EU526615=HEV/SW/NL/2005-1012. 3f.NLD.pig
EU526616=HEV/SW/NL/2006-325455. 3f.NLD.pig
EU526617=HEV/SW/NL/2005-1065. 3f.NLD.pig
EU526618=HEV/SW/NL/2005-1066. 3f.NLD.pig
EU526619=HEV/SW/NL/2005-1023. 3f.NLD.pig
EU526620=HEV/WATER/NL/2004-182. 3f.NLD.water
EU526621=HEV/SW/NL/2005-1061. 3f.NLD.pig
EU526622=HEV/SW/NL/2005-973. 3f.NLD.pig
EU526623=HEV/SW/NL/2005-982. 3f.NLD.pig
EU526624=HEV/SW/NL/2005-975. 3f.NLD.pig
EU526625=HEV/SW/NL/2005-1013. 3e.NLD.pig
EU526626=HEV/WATER/NL/2005-033. 3e.NLD.water
EU526627=HEV/SW/NL/2005-1043. 3a.NLD.pig
EU526628=HEV/SW/NL/2005-1033. 3a.NLD.pig
EU526629=HEV/SW/NL/2005-1028. 3a.NLD.pig
EU526630=HEV/SW/NL/2006-672740. 3a.NLD.pig
EU526631=HEV/SW/NL/2005-1048. 3a.NLD.pig
EU526632=HEV/SW/NL/2005-1027. 3a.NLD.pig
EU526633=HEV/SW/NL/2005-990. 3c.NLD.pig.2005
EU526634=HEV/SW/NL/2005-977. 3c.NLD.pig.2005
EU526635=HEV/SW/NL/2006-659603. 3c.NLD.pig.2006
EU526636=HEV/SW/NL/2005-1036. 3c.NLD.pig.2005
EU526637=HEV/SW/NL/2005-1019. 3c.NLD.pig.2005
EU526638=HEV/SW/NL/2005-1042. 3c.NLD.pig.2005
EU526639=HEV/SW/NL/2005-1068. 3c.NLD.pig.2005
EU526640=HEV/SW/NL/2005-1018. 3c.NLD.pig.2005
EU526641=HEV/SW/NL/2005-999. 3c.NLD.pig.2005
EU526642=HEV/WB/NL/2005-21. 3c.NLD.wb.2005
EU526643=HEV/SW/NL/2005-994. 3c.NLD.pig.2005
EU526644=HEV/SW/NL/2005-1026. 3c.NLD.pig.2005
EU526645=HEV/SW/NL/2005-985. 3c.NLD.pig.2005
EU526646=HEV/SW/NL/2005-1001. 3c.NLD.pig.2005
EU526647=HEV/SW/NL/2005-1055. 3c.NLD.pig.2005
AB189074=JTH-Hyo03L. 3b.JPN.Hyogo.hum.CG.2003
EU684324=. .GBR.pig
EU684325=. .GBR
EU684326=. .GBR.pig
EU684327=. .GBR
EU684328=. .GBR.pig
EU684329=. .GBR.pig
EU718629=HUN-052. 3a.HUN.pig
EU718630=HUN-281. 3e.HUN.pig
EU718631=HUN-288. 3e.HUN.pig
EU718632=HUN-283. 3e.HUN.pig
EU718633=HUN-036. 3a.HUN.pig
EU718634=HUN-088. 3e.HUN.pig
EU718635=HUN-264. 3a.HUN.pig
EU718636=HUN-278. 3e.HUN.pig
EU718637=HUN-282. 3e.HUN.pig
EU718638=HUN-285. 3e.HUN.pig
EU718639=HUN-290. 3e.HUN.pig
EU718640=HUN-039. 3a.HUN.pig
EU718641=HUN-143. 3a.HUN.pig
EU718642=HUN-157. 3e.HUN.deer
EU718643=HUN-284. 3e.HUN.pig
EU718644=HUN-070. 3a.HUN.pig
EU718645=HUN-279. 3e.HUN.pig
EU718646=HUN-006. 3a.HUN.wb
EU718647=HUN-007. 3a.HUN.wb
EU718648=HUN-034. 3a.HUN.pig
EU718649=HUN-039. 3a.HUN.pig
EU718650=HUN-072. 3e.HUN.pig
AB291960=JTK-Kag06C. 3b.JPN.Kagawa.hum.CG.2006
AB197674=JYI-ChiSai01C. 4a.CHN.Shanghai.hum.CG.2001
AB291964=JYK-Tok03C. 4.JPN.Tokio.hum.CG.2003
AB291956=JYM-Tot04L. 3b.JPN.Tottori.hum.CG.2004
AB193178=JYN-Nii02L. 4c.JPN.Niigata.hum.CG.2002
EU849133=. 4.KOR
EU879097=V0607258. 1a.NPL.hum.UReg
EU879098=V0607568. 3e.DEU.hum.UReg
EU879099=V0609076. 3a.DEU.BB.hum.UReg
EU879100=V0609821. 3f.DEU.hum.UReg
EU879101=V0609824. 1a.IND.hum.UReg
EU879102=V0609825. 3f.DEU.hum.UReg
EU879103=V0609890. 3a.DEU.hum.UReg
EU879104=V0610936. 1a.IND.hum.UReg
EU879105=V0616473. 1a.IND.hum.UReg
EU879106=V0616823. 3f.DEU.hum.UReg
EU879107=V0616932. 1a.IND.hum.UReg
EU879108=V0616998. 1.PAK.hum.UReg
EU879109=V0703163. 3c.DEU.hum.UReg
EU879110=V0705397. 3a.DEU.hum.UReg
EU879111=V0706586. 3c.DEU.Berlin.hum.UReg
EU879112=V0707060. 3f.DEU.hum.UReg
EU879113=V0707613. 3a.USA.hum.UReg
EU879114=V0710246. 3f.DEU.hum.UReg
EU879115=V0711187. 1a.IND.hum.UReg
EU879116=V0711277. 3f.DEU.hum.UReg
EU879117=V0713286. 3e.DEU.hum.UReg
EU879118=V0714229. 3g.DEU.hum.UReg
EU879119=V0714305. 1e.ETH.hum.UReg
EU879120=V0716883. 4.DEU.hum.UReg

FJ373295=. 4.CHN
AB193177=JYN-Sap01C. 4c.JPN.Hokkaido.hum.CG.2001
AB189075=JYO-Hyo03L. 3b.JPN.Hyogo.hum.CG.2003
AB291957=JYU-Oki04L. 3b.JPN.Okayama.hum.CG.2004
FJ464744=C12. 3f.ESP.hum
FJ464748=C9. 3f.ESP.hum
FJ464749=C13. 3f.ESP.hum
L25595=K52-87. 1b.CHN.Xinjiang.hum(*).CG.1987
HQ389543=Kernow-C1. 3a.UK.hum.CG.2009
FJ641052=HUN-E134. 3f.HUN.hum
FJ641980=. 4.CHN
FJ641994=Ch-MD-sw1. 4.CHN.pig.2007
FJ642016=Ch-MD-sw23. 4a.CHN.pig.2007
JN564006=LBPR-000379. 3a.USA.hum.CG.2010
X99441=Mad-93. 1a.IND.Madras.hum(*).CG.1993
FJ748515=wbGER39. 3i.DEU.TH.wb.FIRA
FJ748516=wbGER77. 3i.DEU.TH.wb.FIRA
FJ748517=wbGER25. 3c.DEU.BB.wb.FIRA
FJ748518=wbGER27. 3c.DEU.BB.wb.FIRA
FJ748519=wbGER28. 3c.DEU.BB.wb.FIRA
FJ748520=wbGER29. 3c.DEU.BB.wb.FIRA
FJ748521=wbGER31. 3c.DEU.BB.wb.FIRA
FJ748522=wbGER32. 3c.DEU.BB.wb.FIRA
FJ748523=wbGER36. 3c.DEU.BB.wb.FIRA
FJ748524=wbGER37. 3c.DEU.BB.wb.FIRA
FJ748525=wbGER38. 3c.DEU.BB.wb.FIRA
FJ748526=wbGER115. 3e.DEU.Berlin.wb.FIRA
FJ748527=wbGER140. 3a.DEU.BB,Potsdam.wb.FIRA
FJ748528=wbGER155. 3a.DEU.BB,Potsdam.wb.FIRA
FJ748529=wbGER155. 3a.DEU.BB,Potsdam.wb.FIRA
FJ748530=wbGER77. 3i.DEU.TH.wb.FIRA
FJ748531=wbGER27. 3c.DEU.BB.wb.FIRA
FJ763142=KNIH-hHEV4. .KOR.hum
AF082843=Meng. 3a.USA.pig(*).CG.1996
M74506=Mexico. 2a.MEX.Telixtac.mac-hum(*).CG.1986
AY230202=Morocco. 1d.MAR.hum(*).CG.1994
AF455784=Osh 205. 3g.KGZ.pig(*).CG
DQ459342=PM2000. 1a.IND.hum.CG.2000
FJ998010=RP1647. 3i.DEU.RP.wb.RKI
FJ998011=RP1658. 3i.DEU.RP.wb.RKI
FJ998012=RP1752. 3i.DEU.RP.wb.RKI
KF922359=rt93100008. 3e.FRA.hum.CG.2009
FJ998013=SA11. 3e.DEU.BB,Welzow.wb.RKI
FJ998014=SA13. 3e.DEU.BB,Welzow.wb.RKI
FJ998015=SA21. 3e.DEU.BB,Welzow.wb.RKI.CG.2007
FJ998016=SA28. 3e.DEU.BB,Welzow.wb.RKI
FJ998017=SA29. 3f.DEU.BB,Welzow.wb.RKI.2007
FJ998019=SA34. 3e.DEU.BB,Welzow.wb.RKI
FM872317=. .DEU.gallus
FM872327=. .DEU.gallus
FN557169=. .DEU.gallus
FN869554=. .GBR
FN869555=. .GBR
FN869556=. .GBR
FN985024=V1011292. 3f.DEU.BB.hum.UReg
FN985025=V1011293. 3c.DEU.BB.hum.UReg
FN985026=V1011911. 3f.DEU.MV.hum.UReg
FN994997=V1006699. 3c.DEU.NI.hum.UReg
FN994998=V1008999. 3e.DEU.NW.hum.UReg
FN994999=V1009000. 3e.DEU.NW.hum.UReg
FN995000=V1007999. 3c.DEU.BY,Reg.hum.UReg
FJ527832=SAAS-JDY5. 3b.CHN.Shang.pig.CG.2007
FR687017=V1002449. 3e.DEU.TH.hum.UReg
FR728243=V1003873. 1a.?.hum.UReg
FR728244=V1003873. 1a.?.hum.UReg
FR728245=V1013454. 1.DEU.BY.hum.UReg
FR728246=V1013454. 1.DEU.BY.hum.UReg
FR728247=V1014546. 3c.DEU.Hamburg.hum.UReg
FR728248=V1015214. 3c.DEU.NW.hum.UReg
FR728249=V1015214. 3c.DEU.NW.hum.UReg
FR728250=V1021644. 3f.DEU.BB.hum.UReg
FR728251=V1019129. 3feg.DEU.BB.hum.UReg
FR728252=V1019129. 3feg.DEU.BB.hum.UReg
FR728253=V1020087. 3c.DEU.BY,Munich.hum.UReg
FR728254=V1020087. 3c.DEU.BY,Munich.hum.UReg
FR728255=V1023239. 3c.DEU.BW,Ulm.hum.UReg
FR728256=V1023239. 3c.DEU.BW,Ulm.hum.UReg
FR846450=V1024549. 3c.DEU.BW,LB.hum.UReg
FR846451=V1025911. 3c.DEU.RP,Mainz.hum.UReg
FR846452=V1025911. 3c.DEU.RP,Mainz.hum.UReg
FR846453=swR437. 3a.DEU.BY,Reg.pig.UReg
FR846454=swR437. 3a.DEU.BY,Reg.pig.UReg
FR846455=swR269. 3c.DEU.BY,Reg.pig.UReg
FR863612=HEVCW. 3.GBR.hum
GQ266391=V0813275. 3e.DEU.hum.UReg.2008
GQ468296=HUN-138. 3a.HUN.deer
GQ504009=. .rat.FIRA
GQ504010=. .rat.FIRA
GQ913689=. .GBR
M80581=SAR-55. 1b.PAK.Sargodha.mac(*).CG.1987
GU119960=CHN-XJ-SW33. 4a.CHN.pig.CG.2009
GU119961=CHN-XJ-SW13. 4a.CHN.pig.CG.2009
EF570133=SH-SW-zs1. 4i.CHN.pig.CG
GU206559=bjsw1. .CHN.pig.CG.2008
GU299812=CZhHEV108-09. 3g.CZE.hum
GU299813=CZhHEV113-09. 3f.CZE.hum
GU299814=CZwbHEV71-09. 3g.CZE.wb
GU299815=CZhHEV197-09. 3e.CZE.hum
GU299816=CZwbHEV51-09. 3g.CZE.wb
GU299817=CZhHEV107-09. 3e.CZE.hum
GU345042=R63. C1.rat.CG
GU345043=. .rat.CG
GU361892=hb-3. .CHN.cells.CG.2008
GU479457=V0926307. 3a.DEU.BY.hum.UReg
GU479458=V0926307. 3a.DEU.BY.hum.UReg
HM623776=sw10_04AT. 3a.AUT.pig.2007
HM623777=sw11_4bAT. 3i.AUT.pig.2008
HM623773=sw1aAT. 3a.AUT.pig.2008
GU954430=. .CHN.chicken
HE605113=V1007014. 3f.DEU.hum.UReg.2010
HE605114=V1109172. 3c.DEU.hum.UReg.2011
HE605115=V1117691. 3c.DEU.hum.UReg.2011
HE605116=V1109172. 3c.DEU.hum.UReg.2011
HE605117=V1117691. 3c.DEU.hum.UReg.2011
HE716853=V1008053. 3i.DEU.Nordrhein-Westfalen.hum.UReg.2010
HE716854=V1008053. 3.DEU.Nordrhein-Westfalen.hum.UReg.2010
HE797853=4701. 3a.DEU.MV.wb.FLI.1997
HE797854=8603. 3a.DEU.MV.wb.FLI.2005
HE797855=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
HE797856=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
HE797857=WS35-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
TV44-10.p13x14=Bugewitz. 3b.DEU.MV,Ovp.FLI.2010
Rabbit-126.HVR.247nt=Ra-126. Rab.DEU.rabbit.FLI.1989
JQ807522=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
JQ807523=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
JQ807524=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
WS5-FLI.feb27.K.HVR.349nt=Riems. 3i.DEU.MV,Riems.wb.FLI.2012
WS5-FLI.feb27.K.RdRp.280nt=Riems. 3i.DEU.MV,Riems.wb.2012
HF912156=V1114818. 3c.DEU.Lower Saxony.hum.UReg.2011
HF912157=V1114818. 3c.DEU.Lower Saxony.hum.UReg.2011
HI577563=. .patent
HM054531=TR39. 3c.FRA.hum
GU117636=Sw28IT. 3f.ITA.pig
HM152568=bisw5. .CHN.pig.2008
HM439284=EChZ20. .CHN.hum.2008
EU723512=SW626. 3f.ESP.pig.CG.2005
HM483380=005-10. 3a.SRB.pig
HM483381=006-10. 3a.SRB.pig
HM483382=007-10. 3a.SRB.pig
HM483383=008-10. 3a.SRB.pig
HM483384=009-10. 3g.SRB.pig
EU723513=SW627. 3f.ESP.pig.CG.2005
HM623774=sw7_1AT. 3a.AUT.pig.2008
HM623775=sw7aAT. 3a.AUT.pig.2007
GU556929=SwBO85. 3c.ITA.pig
FJ610232=swCH189. 4d.CHN.Gansu.pig.CG.2008
HM641302=640-09. 3c.SWE.wb
HM775425=He_Uy2. .URY.hum.2010
HM775426=He_Uy3. .URY.hum.2010
HM775427=He_Uy4. .URY.hum.2010
HM775428=He_Uy6. .URY.hum.2010
HM775429=He_Uy1. .URY.hum.2010
AY594199=swCH25. 4d.CHN.Xinjian.pig(*).CG
HQ389544=Kernow-C1. .USA.cells.2010
HQ415969=CC2009-1047. 3b.CAN.hum
HQ446873=CUB24-2008. 3a.CUB.hum.2008
HQ446874=CUB96-2008. 3a.CUB.hum.2008
HQ446875=CUB90-2008. 3a.CUB.hum.2008
HQ446876=CUB67-2008. 3a.CUB.hum.2008
HQ446877=CUB54-2008. 3a.CUB.hum.2008
HQ446878=CUB23-2008. 3a.CUB.hum.2008
HQ446879=CUB90D-2008. 3a.CUB.hum.2008
HQ634346=. .CHN.TWN.cells.CG
HQ682232=Fr-10Y56. 3h.FRA.hum
HQ688787=Fr-10Y57. 3f.FRA.hum
HQ693753=PT4-1. 3a.CAN.hum
HQ693754=PT4-2. 3a.CAN.hum
HQ702487=Case1_Ser_Lg. 3f.FRA.Marseille.hum
HQ702488=Case1_LCR_Sh. 3f.FRA.Marseille.hum
HQ702489=Case2_Ser_Sh. 3f.FRA.Marseille.hum
HQ702553=He_Uy9. .URY.hum.2010
HQ702554=He_Uy11. .URY.hum.2010
HQ709170=Kernow-C1. .USA.cells.CG.2010
HQ724531=He_Uy7. .URY.hum.2010
HQ724532=He_Uy10. .URY.hum.2010
HQ731075=. .USA.trout
HQ842716=NLSW664HEV2008. 3c.NLD.pig.2008
HQ842717=NLSW708HEV2008. 3c.NLD.pig.2008
HQ842719=NLSW747HEV2008. 3a.NLD.pig.2008
HQ842728=BeSW68HEV4-2008. 4.BEL.pig
HQ842731=NLSW927HEV2008. 3c.NLD.pig.2008
HQ857384=BeSW67HEV4-2008. 4.BEL.pig
HV187732=. .patent
HV187733=. .patent
HV187734=. .patent
HV187735=. .patent
HV188351=. .patent
HV188352=. .patent
HV188353=. .patent
HV188354=. .patent
HV188359=. .patent
HV188360=. .patent
HV539325=. .patent
HV539326=. .patent
HV775940=. .patent
HW532736=. .patent.CG
HW532737=. .patent.CG
JA070676=. .patent
JA070677=. .patent
JA378816=. .patent
JA378817=. .patent
JC087002=. .patent
JC087006=. .patent
JF309071=Hamburg-BNI. 3c.DEU.BB.hum.BNI.2010
JF431017=SI-P36. 3k.SVN.pig.2004
JF431023=SI-P65. 3k.SVN.pig.2004
JF431032=SI-P6. 3k.SVN.pig
JF431034=SI-P6. 3k.SVN.pig
JF431037=SI-P36. 3k.SVN.pig
JF431042=SI-P65. 3k.SVN.pig
JF443717=IND-HEV-AVH1-1991. 1.IND.hum
JF443718=IND-HEV-AVH2-1998. 1.IND.hum
JF443719=IND-HEV-AVH3-2000. 1.IND.hum
JF443720=IND-HEV-AVH4-2006. 1.IND.hum
JF443721=IND-HEV-AVH4-2006. 1.IND.hum
JF443722=IND-HEV-FHF1-2003. 1.IND.hum
JF443723=IND-HEV-FHF2-2004. 1.IND.hum
JF443724=IND-HEV-FHF3-2005. 1.IND.hum
JF443725=IND-HEV-FHF4-2006. 1.IND.hum
JF443726=IND-HEV-FHF5-2007. 1.IND.hum
JF490047=E1Arg36.2. 3chi.ARG.hum
JF490048=E1Arg42.15. 3l.ARG.hum
JF490049=E1Arg52.24. 3j.ARG.hum
JF516246=. .USA.rat
JF718827=FR-SHEVL183. 3f.FRA.pig
JF718828=FR-SHEVL185. 3f.FRA.pig
JF718829=FR-SHEVL186. 3f.FRA.pig
JF730329=Fr-08H82. 3c.FRA.pig.2008
JF730330=Fr-08H53. 3f.FRA.pig
JF730331=Fr-08L40. 3f.FRA.pig
JF730332=Fr-08I96. 3f.FRA.pig
JF915746=SAAS-FX17. 4.CHN
JF937673=swCUB7-2008. 3a.CUB.pig.2007
JF937674=swCUB30-2008. 3a.CUB.pig.2007
JF937675=swCUB87-2008. 3a.CUB.pig.2007
JF937676=swCUB92-2008. 3a.CUB.pig.2007
JF937677=swCUB138-2008. 3a.CUB.pig.2007
JF937678=swCUB137-2008. 3a.CUB.pig.2007
JN040433=. .VNM.rat
JN052926=. 4.CHN
JN167530=. .DEU.rat.FIRA
JN167531=. .DEU.rat.FIRA
JN167532=. .DEU.rat.FIRA
JN167533=. .DEU.rat.FIRA
JN167534=. .DEU.rat.FIRA
JN167535=. .DEU.rat.FIRA
JN167536=. .DEU.rat.FIRA
JN167537=. .DEU.rat
JN167538=. .DEU.rat
JN257704=PP202. 4.DEU.hum.PEI
JN257705=PP203. 4.DEU.hum.PEI
JN257706=PP217. 4.DEU.hum.PEI
JN257707=PP219. 4.DEU.hum.PEI
JN257708=PP300. 3.DEU.hum.PEI
JN257709=PP302. 3feg.DEU.hum.PEI
JN257710=PP316. 3.DEU.hum.PEI
JN257711=PP440. 3c.DEU.hum.PEI
DQ450072=swCH31. 4i.CHN.pig.CG
DQ279091=swDQ. 4b.CHN.pig.CG
EU366959=swGX32. 4a.CHN.pig.CG
JN415692=swine/Ger/01. 3e.DEU.pig.TiHo.2009
JN415693=swine/Ger/03. 3e.DEU.pig.TiHo.2009
JN415694=swine/Ger/05. 3e.DEU.pig.TiHo.2009
JN415695=swine/Ger/06. 3e.DEU.pig.TiHo.2009
JN415696=swine/Ger/07. 3e.DEU.pig.TiHo.2009
JN415697=swine/Ger/10. 3c.DEU.pig.TiHo.2009
JN415698=swine/Ger/12. 3c.DEU.pig.TiHo.2009
JN415699=swine/Ger/14. 3e.DEU.pig.TiHo.2009
JN415700=swine/Ger/15. 3e.DEU.pig.TiHo.2009
JN415701=swine/Ger/16. 3c.DEU.pig.TiHo.2009
JN415702=swine/Ger/17. 3c.DEU.pig.TiHo.2009
JN415703=swine/Ger/18. 3e.DEU.pig.TiHo.2008
JN415704=swine/Ger/19. 3f.DEU.pig.TiHo.2008
EU676172=swGX40. 4b.CHN.pig.CG
JN597006=HH-F9. .KOR.chicken.2011
JX507128=swHEV-MG-104. 3h.MDG.pig.2010
JX507129=swHEV-MG-121. 3h.MDG.pig.2010
JN701455=USfsw-1. 3a.USA.pig.2008
JN701456=USfsw-2. 3a.USA.pig.2008
JN701457=USsw-21. 3a.USA.pig.2008
JX507130=swHEV-MG-190. 3h.MDG.pig.2010
AB248522=swJ12-4. 3e.JPN.Hokkaido.pig.CG
AB097811=swj13-1. 4c.JPN.Hokkaido.pig(*).CG.2002
AB248521=swJ8-5. 3e.JPN.Hokkaido.pig.CG
JN986840=HAMBURG-HB. 3c.DEU.hum.BNI.2010
JN995562=Oct1. 3.SWE.hum.PEI
JN995563=Oct2. 3c.DEU.hum.PEI
JN995564=Oct3. 3e.DEU.hum.PEI
JN995565=Oct4. 3f.SWE.hum.PEI
JN995566=Oct5. 3i.SWE.hum.PEI
JN995567=Oct6. 3c.DEU.hum.PEI
JN995568=Oct7. 3.DEU.hum.PEI
JN995569=Oct8. 3c.DEU.hum.PEI
JN995570=Oct9. 3f.SWE.hum.PEI
JN995571=Oct10. 3i.SWE.hum.PEI
JN995572=Oct11. 3f.SWE.hum.PEI
JN995573=Oct12. 3f.SWE.hum.PEI
JN997392=HU-16773. .HUN.gallus
JN998606=FRHEV4. C2.NLD.ferret.CG.2010
JN998607=. .NLD.ferret.CG.2010
JQ001744=. .GHA.bat
JQ001745=. .PAN.bat.2009
JQ001746=. .DEU.bat.UBMC.2009
JQ001747=. .DEU.bat.UBMC.2009
JQ001748=. .DEU.bat.UBMC.2008
JQ001749=BatHEV/BS7/GE/2009. D.DEU.bat.UBMC.2009
JQ013789=F1-4. Rab.FRA.rabbit.2008
JQ013790=F1-6. Rab.FRA.rabbit.2007
JQ013791=W1-11. Rab.FRA.rabbit.CG.2007
JQ013792=W7-57. Rab.FRA.rabbit.CG.2007
JQ013793=TLS-18516. Rab.FRA.hum.CG.2008
AB481226=swJB-E10. 3e.JPN.pig.CG
AB481227=swJB-H7. 4c.JPN.pig.CG
AB481228=swJB-M8. 3a.JPN.pig.CG
JQ034512=HSD40. 3c.DEU.hum.UBMC.2009
JQ034513=HSD23. 3c.DEU.hum.UBMC.2009
JQ034514=HSD32. 3c.DEU.hum.UBMC.2009
JQ034515=HSD11. 3c.DEU.hum.UBMC.2009
JQ034516=HSD14. 3c.DEU.hum.UBMC.2009
JQ034517=HSD35. 3e.DEU.hum.UBMC.2009
JQ034518=HSD50. 3e.DEU.hum.UBMC.2009
JQ034519=HSD21. 3c.DEU.hum.UBMC.2009
JQ034520=HSD24. 3e.DEU.hum.UBMC.2009
JQ034521=HSD43. 3a.DEU.hum.UBMC.2009
JQ034522=HSD30. 3c.DEU.hum.UBMC.2009
JQ071861=. .DEU.bat.UBMC.2010
AB481229=swJR-P5. 3b.JPN.pig.CG
JQ655733=MO. 4.CHN.hum
JQ655734=W2-1. 1.CHN.hum
JQ655735=W3. 4.CHN.hum
JQ655736=W2-5. 4.CHN.pig
JQ679013=Kernow-C1. .USA.cells.2010
JQ679014=Kernow-C1. .USA.cells.2010
JQ679015=. .GBR
JQ679016=. .GBR
JQ679017=. .GBR
JQ679018=. .GBR
JQ679019=. .GBR
JQ679020=. .GBR
JQ679021=. .GBR
JQ679022=. .GBR
JQ679023=. .GBR
JQ679024=. .GBR
JQ679025=. .GBR
JQ740781=CHN-NJ-H2011. 4.CHN.hum.2009
JQ768461=CHN-BJ-rb14. Rab.CHN.rabbit.CG
JQ807471=4322. 3i.DEU.MV.wb.FLI.1997
JQ807472=4701. 3a.DEU.MV.wb.FLI.1997
JQ807473=4973. 3a.DEU.MV.wb.FLI.1997
JQ807474=5160. 3i.DEU.MV.wb.FLI.1997
JQ807475=5304. 3i.DEU.MV.wb.FLI.1997
JQ807476=8603. 3a.DEU.MV.wb.FLI.2005
JQ807477=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
JQ807478=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
JQ807479=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
JQ807480=Bugewitz. 3b.DEU.MV,Ovp.wb.FLI.2009
FJ426403=swKOR-1. 3a.KOR.pig.CG.2007
FJ426404=swKOR-2. 3a.KOR.pig.CG.2007
AB290312=swMN06-A1288. 3h.MNG.pig.CG.2006
JQ807484=WS21-10. 3i.DEU.MV,Sfh.wb.FLI.2010
JQ807485=WS21-10. 3i.DEU.MV,Sfh.wb.FLI.2010
JQ807486=WS28-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807487=WS28-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807488=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807489=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807490=WS34-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
JQ807491=WS35-10. 3jab.DEU.MV,Ddh.wb.FLI.2010
